Year,ID,Method,Scope,Category ,Level 2,Level 3,Level 4,Report Label,UOM,GHG/Unit,GHG Conversion Factor 2025,Valid From,Valid To,Source
2022,SPEND-SIC-2022-01,Spend,Scope 3,"Products of agriculture, hunting and related services",,,,Products of agriculture,GBP,kg CO2e,2.633028618,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-02,Spend,Scope 3,"Products of forestry, logging and related services",,,,Products of forestry,GBP,kg CO2e,0.11,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-03,Spend,Scope 3,Fish and other fishing products; aquaculture products; support services to fishing,,,,Fishing products and services ,GBP,kg CO2e,0.74169991,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-05,Spend,Scope 3,Coal and lignite,,,,Coal and lignite,GBP,kg CO2e,1.1978337,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-06,Spend,Scope 3,Crude petroleum and natural gas,,,,Crude petroleum and natural gas           ,GBP,kg CO2e,0.5095637,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-08,Spend,Scope 3,Other mining and quarrying products,,,,Other mining and quarrying products           ,GBP,kg CO2e,0.8368059,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-09,Spend,Scope 3,Mining support services,,,,Mining support services             ,GBP,kg CO2e,2.0798571,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.1,Spend,Scope 3,Preserved meat and meat products,,,,Preserved meat products           ,GBP,kg CO2e,0.870598,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.2 -3,Spend,Scope 3,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",,,,"Processed seafood, fruit and vegetables       ",GBP,kg CO2e,0.8319256,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.4,Spend,Scope 3,Vegetable and animal oils and fats,,,,Vegetable and animal oils and fats          ,GBP,kg CO2e,0.8717823,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.5,Spend,Scope 3,Dairy products,,,,Dairy products              ,GBP,kg CO2e,1.1264361,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.6,Spend,Scope 3,"Grain mill products, starches and starch products",,,,Grain mill and starch products,GBP,kg CO2e,0.8479743,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.7,Spend,Scope 3,Bakery and farinaceous products,,,,Bakery products            ,GBP,kg CO2e,0.5602093,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.8,Spend,Scope 3,Other food products,,,,Other food products             ,GBP,kg CO2e,0.7974828,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-10.9,Spend,Scope 3,Prepared animal feeds,,,,Prepared animal feeds             ,GBP,kg CO2e,1.1474002,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-11.01-6,Spend,Scope 3,Alcoholic beverages,,,,Alcoholic beverages              ,GBP,kg CO2e,0.9286386,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-11.07,Spend,Scope 3,Soft drinks,,,,Soft drinks              ,GBP,kg CO2e,0.5648235,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-12,Spend,Scope 3,Tobacco products,,,,Tobacco products              ,GBP,kg CO2e,0.8334693,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-13,Spend,Scope 3,Textiles,,,,Textiles               ,GBP,kg CO2e,0.7826754,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-14,Spend,Scope 3,Wearing apparel,,,,Wearing apparel              ,GBP,kg CO2e,0.6678002,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-15,Spend,Scope 3,Leather and related products,,,,Leather and related products            ,GBP,kg CO2e,0.7483189,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-16,Spend,Scope 3,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",,,,"Wood, straw and products, except furniture",GBP,kg CO2e,0.4693285,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-17,Spend,Scope 3,Paper and paper products,,,,Paper and paper products            ,GBP,kg CO2e,0.8049973,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-SIC-2022-18,Spend,Scope 3,Printing and recording services,,,,Printing and recording services            ,GBP,kg CO2e,0.4165701,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
