Year,ID,Method,Scope,Category ,Level 2,Level 3,Level 4,Report Label,UOM,GHG/Unit,GHG Conversion Factor 2025,Valid From,Valid To,Source
2025,1_100_1000_15_1,Activity,Scope 1,Fuels,Gaseous fuels,Butane,,Fuels Gaseous fuels Butane ,tonnes,kg CO2e,3033.38067,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1000_8_1,Activity,Scope 1,Fuels,Gaseous fuels,Butane,,Fuels Gaseous fuels Butane ,litres,kg CO2e,1.74533,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1000_7_1,Activity,Scope 1,Fuels,Gaseous fuels,Butane,,Fuels Gaseous fuels Butane ,kWh (Net CV),kg CO2e,0.24107,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1001_15_1,Activity,Scope 1,Fuels,Gaseous fuels,CNG,,Fuels Gaseous fuels CNG ,tonnes,kg CO2e,2575.46441,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1001_8_1,Activity,Scope 1,Fuels,Gaseous fuels,CNG,,Fuels Gaseous fuels CNG ,litres,kg CO2e,0.4507,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1001_7_1,Activity,Scope 1,Fuels,Gaseous fuels,CNG,,Fuels Gaseous fuels CNG ,kWh (Net CV),kg CO2e,0.2027,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1002_15_1,Activity,Scope 1,Fuels,Gaseous fuels,LNG,,Fuels Gaseous fuels LNG ,tonnes,kg CO2e,2603.30441,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1002_8_1,Activity,Scope 1,Fuels,Gaseous fuels,LNG,,Fuels Gaseous fuels LNG ,litres,kg CO2e,1.17797,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1002_7_1,Activity,Scope 1,Fuels,Gaseous fuels,LNG,,Fuels Gaseous fuels LNG ,kWh (Net CV),kg CO2e,0.20489,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1003_15_1,Activity,Scope 1,Fuels,Gaseous fuels,LPG,,Fuels Gaseous fuels LPG ,tonnes,kg CO2e,2939.36095,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1003_8_1,Activity,Scope 1,Fuels,Gaseous fuels,LPG,,Fuels Gaseous fuels LPG ,litres,kg CO2e,1.55713,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1003_7_1,Activity,Scope 1,Fuels,Gaseous fuels,LPG,,Fuels Gaseous fuels LPG ,kWh (Net CV),kg CO2e,0.23032,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1004_15_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas,,Fuels Gaseous fuels Natural gas ,tonnes,kg CO2e,2575.46441,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1004_1_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas,,Fuels Gaseous fuels Natural gas ,cubic metres,kg CO2e,2.06672,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1004_6_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas,,Fuels Gaseous fuels Natural gas ,kWh (Gross CV),kg CO2e,0.18296,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1004_7_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas,,Fuels Gaseous fuels Natural gas ,kWh (Net CV),kg CO2e,0.2027,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1005_15_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,Fuels Gaseous fuels Natural gas (100% mineral blend) ,tonnes,kg CO2e,2603.30441,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1005_1_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,Fuels Gaseous fuels Natural gas (100% mineral blend) ,cubic metres,kg CO2e,2.08906,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1005_7_1,Activity,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,Fuels Gaseous fuels Natural gas (100% mineral blend) ,kWh (Net CV),kg CO2e,0.20489,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1006_15_1,Activity,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Fuels Gaseous fuels Other petroleum gas ,tonnes,kg CO2e,2578.24647,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1006_8_1,Activity,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Fuels Gaseous fuels Other petroleum gas ,litres,kg CO2e,0.94442,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1006_7_1,Activity,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Fuels Gaseous fuels Other petroleum gas ,kWh (Net CV),kg CO2e,0.19917,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1007_15_1,Activity,Scope 1,Fuels,Gaseous fuels,Propane,,Fuels Gaseous fuels Propane ,tonnes,kg CO2e,2997.63233,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1007_8_1,Activity,Scope 1,Fuels,Gaseous fuels,Propane,,Fuels Gaseous fuels Propane ,litres,kg CO2e,1.54358,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_100_1007_7_1,Activity,Scope 1,Fuels,Gaseous fuels,Propane,,Fuels Gaseous fuels Propane ,kWh (Net CV),kg CO2e,0.23258,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1008_15_1,Activity,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Fuels Liquid fuels Aviation spirit ,tonnes,kg CO2e,3193.6948,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1008_8_1,Activity,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Fuels Liquid fuels Aviation spirit ,litres,kg CO2e,2.33116,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1008_7_1,Activity,Scope 1,Fuels,Liquid fuels,Aviation spirit,,Fuels Liquid fuels Aviation spirit ,kWh (Net CV),kg CO2e,0.25666,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1009_15_1,Activity,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Fuels Liquid fuels Aviation turbine fuel ,tonnes,kg CO2e,3178.3652,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1009_8_1,Activity,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Fuels Liquid fuels Aviation turbine fuel ,litres,kg CO2e,2.54269,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1009_7_1,Activity,Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Fuels Liquid fuels Aviation turbine fuel ,kWh (Net CV),kg CO2e,0.26061,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1010_15_1,Activity,Scope 1,Fuels,Liquid fuels,Burning oil,,Fuels Liquid fuels Burning oil ,tonnes,kg CO2e,3165.04181,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1010_8_1,Activity,Scope 1,Fuels,Liquid fuels,Burning oil,,Fuels Liquid fuels Burning oil ,litres,kg CO2e,2.54016,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1010_7_1,Activity,Scope 1,Fuels,Liquid fuels,Burning oil,,Fuels Liquid fuels Burning oil ,kWh (Net CV),kg CO2e,0.25975,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1011_15_1,Activity,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Fuels Liquid fuels Diesel (average biofuel blend) ,tonnes,kg CO2e,3087.94462,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1011_8_1,Activity,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Fuels Liquid fuels Diesel (average biofuel blend) ,litres,kg CO2e,2.57082,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1011_7_1,Activity,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Fuels Liquid fuels Diesel (average biofuel blend) ,kWh (Net CV),kg CO2e,0.25953,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1012_15_1,Activity,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Fuels Liquid fuels Diesel (100% mineral diesel) ,tonnes,kg CO2e,3203.91143,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1012_8_1,Activity,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Fuels Liquid fuels Diesel (100% mineral diesel) ,litres,kg CO2e,2.66155,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1012_7_1,Activity,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Fuels Liquid fuels Diesel (100% mineral diesel) ,kWh (Net CV),kg CO2e,0.26808,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1013_15_1,Activity,Scope 1,Fuels,Liquid fuels,Fuel oil,,Fuels Liquid fuels Fuel oil ,tonnes,kg CO2e,3228.89019,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1013_8_1,Activity,Scope 1,Fuels,Liquid fuels,Fuel oil,,Fuels Liquid fuels Fuel oil ,litres,kg CO2e,3.17492,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1013_7_1,Activity,Scope 1,Fuels,Liquid fuels,Fuel oil,,Fuels Liquid fuels Fuel oil ,kWh (Net CV),kg CO2e,0.28523,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1014_15_1,Activity,Scope 1,Fuels,Liquid fuels,Gas oil,,Fuels Liquid fuels Gas oil ,tonnes,kg CO2e,3226.57859,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1014_8_1,Activity,Scope 1,Fuels,Liquid fuels,Gas oil,,Fuels Liquid fuels Gas oil ,litres,kg CO2e,2.75541,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1014_7_1,Activity,Scope 1,Fuels,Liquid fuels,Gas oil,,Fuels Liquid fuels Gas oil ,kWh (Net CV),kg CO2e,0.27288,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1015_15_1,Activity,Scope 1,Fuels,Liquid fuels,Lubricants,,Fuels Liquid fuels Lubricants ,tonnes,kg CO2e,3180.99992,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
2025,1_101_1015_8_1,Activity,Scope 1,Fuels,Liquid fuels,Lubricants,,Fuels Liquid fuels Lubricants ,litres,kg CO2e,2.74934,01/01/2025,31/12/2025,UK DESNZ activity-based conversion factors 2025
