Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM, [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , Qty ,Notes
Scope 1,Fuels,Natural Gas Grid,1_100_1004_6_1,kWh,,,,,,,,,,,,, -   ,
Scope 1,Fuels,Biogas Grid,2_105_1047_5_1,kWh,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Small car Diesel,4_301_3045_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Small car Petrol,4_301_3046_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Small car Hybrid,4_301_3047_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Small car Unknown,4_301_3050_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Small car Plug-in Hybrid Electric Vehicle,4_301_3051_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Small car Battery Electric Vehicle,4_301_3052_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Medium car Diesel,4_301_3053_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Medium car Petrol,4_301_3054_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Medium car Hybrid,4_301_3055_9_1,miles,,,,,,,,,,,,, -   ,
Scope 1,Company Vehicles,Cars Medium car Unknown,4_301_3058_9_1,miles,,,,,,,,,,,,, -   ,
