Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM,GHG Unit,Factor, Qty , [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , tCO2e , Apply , tCO2e ,Notes
Scope 1,Fuels,Natural Gas Grid,1_100_1004_6_1,kWh,kg CO2e,0.18296,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Fuels,Biogas Grid,2_105_1047_5_1,kWh,kg CO2e,0.00022,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Small car Diesel,4_301_3045_9_1,miles,kg CO2e,0.23078,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Small car Petrol,4_301_3046_9_1,miles,kg CO2e,0.23027,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Small car Hybrid,4_301_3047_9_1,miles,kg CO2e,0.18368,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Small car Unknown,4_301_3050_9_1,miles,kg CO2e,0.23049,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Small car Plug-in Hybrid Electric Vehicle,4_301_3051_9_1,miles,kg CO2e,0.04841,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Small car Battery Electric Vehicle,4_301_3052_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Medium car Diesel,4_301_3053_9_1,miles,kg CO2e,0.27639,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Medium car Petrol,4_301_3054_9_1,miles,kg CO2e,0.28121,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Medium car Hybrid,4_301_3055_9_1,miles,kg CO2e,0.18869,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Medium car Unknown,4_301_3058_9_1,miles,kg CO2e,0.27877,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Medium car Plug-in Hybrid Electric Vehicle,4_301_3059_9_1,miles,kg CO2e,0.12536,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Medium car Battery Electric Vehicle,4_301_3060_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Large car Diesel,4_301_3061_9_1,miles,kg CO2e,0.33808,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Large car Petrol,4_301_3062_9_1,miles,kg CO2e,0.43175,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Large car Hybrid,4_301_3063_9_1,miles,kg CO2e,0.25184,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Large car Unknown,4_301_3066_9_1,miles,kg CO2e,0.36495,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Large car Plug-in Hybrid Electric Vehicle,4_301_3067_9_1,miles,kg CO2e,0.16146,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Large car Battery Electric Vehicle,4_301_3068_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Average car Diesel,4_301_3069_9_1,miles,kg CO2e,0.27849,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Average car Petrol,4_301_3070_9_1,miles,kg CO2e,0.26187,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Average car Hybrid,4_301_3071_9_1,miles,kg CO2e,0.20639,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Average car Unknown,4_301_3074_9_1,miles,kg CO2e,0.26915,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Average car Plug-in Hybrid Electric Vehicle,4_301_3075_9_1,miles,kg CO2e,0.14751,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Cars Average car Battery Electric Vehicle,4_301_3076_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Motorbike Small ,4_302_3077_9_1,miles,kg CO2e,0.13389,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Motorbike Medium ,4_302_3078_9_1,miles,kg CO2e,0.16265,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Motorbike Large ,4_302_3079_9_1,miles,kg CO2e,0.21326,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Motorbike Average ,4_302_3080_9_1,miles,kg CO2e,0.18293,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class I (up to 1.305 tonnes) Diesel,5_303_3081_9_1,miles,kg CO2e,0.25329,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class I (up to 1.305 tonnes) Petrol,5_303_3082_9_1,miles,kg CO2e,0.3249,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class I (up to 1.305 tonnes) Plug-in Hybrid Electric Vehicle,5_303_3086_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class I (up to 1.305 tonnes) Battery Electric Vehicle,5_303_3087_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Diesel,5_303_3088_9_1,miles,kg CO2e,0.30996,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Petrol,5_303_3089_9_1,miles,kg CO2e,0.33594,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Unknown,5_303_3092_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Plug-in Hybrid Electric Vehicle,5_303_3093_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class II (1.305 to 1.74 tonnes) Battery Electric Vehicle,5_303_3094_9_1,miles,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Diesel,5_303_3095_9_1,miles,kg CO2e,0.44866,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Petrol,5_303_3096_9_1,miles,kg CO2e,0.54468,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Unknown,5_303_3099_9_1,miles,kg CO2e,,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,Vans Class III (1.74 to 3.5 tonnes) Plug-in Hybrid Electric Vehicle,5_303_3100_9_1,miles,kg CO2e,0.2101,,,,,,,,,,,,,, -   ,100%, -   ,
